"ID","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Total_Trans_Amt","Total_Trans_Ct"
714073983,"Existing Customer",47,"M",2,"Unknown","Single","$40K - $60K",36,6,3,3,7327,0,1788,46
718076733,"Existing Customer",43,"M",1,"Graduate","Single","$60K - $80K",31,4,3,3,25824,1170,3101,73
710511858,"Existing Customer",58,"F",0,"Unknown","Married","Less than $40K",36,3,3,3,3832,1439,4741,88
766273533,"Existing Customer",53,"M",2,"Uneducated","Unknown","$80K - $120K",46,3,6,3,17190,1736,15055,117
779249583,"Existing Customer",56,"F",1,"Graduate","Married","Less than $40K",38,4,3,3,2578,2462,1378,29
711566208,"Existing Customer",58,"F",3,"Graduate","Married","Less than $40K",36,2,2,2,5023,1857,14111,98
714267858,"Existing Customer",44,"F",2,"High School","Single","Unknown",37,6,2,1,4559,1680,4934,76
716510658,"Attrited Customer",50,"F",0,"Doctorate","Single","Less than $40K",38,4,3,3,2595,2353,2526,41
716673258,"Existing Customer",60,"F",1,"Unknown","Single","Less than $40K",36,1,1,3,2347,1488,3977,83
708694983,"Existing Customer",55,"F",1,"Uneducated","Unknown","Less than $40K",36,1,2,1,3150,2222,14750,96
708314808,"Existing Customer",53,"F",2,"College","Married","Unknown",41,5,1,3,5659,1393,1570,40
770938533,"Existing Customer",45,"M",1,"College","Unknown","$120K +",32,3,1,3,3304,1370,3914,70
716995083,"Existing Customer",52,"M",2,"High School","Single","$80K - $120K",44,6,2,4,2650,1049,4218,64
779523258,"Existing Customer",34,"M",2,"Graduate","Married","$40K - $60K",17,6,2,1,3323,1062,4610,78
779065458,"Existing Customer",56,"M",1,"High School","Married","$120K +",37,4,1,3,9257,0,4212,72
713206683,"Attrited Customer",40,"M",4,"Graduate","Single","$80K - $120K",22,3,1,3,34516,0,1028,26
714528258,"Existing Customer",46,"M",2,"Graduate","Divorced","$60K - $80K",39,3,1,1,3299,870,4904,75
716455683,"Existing Customer",40,"F",3,"High School","Single","Less than $40K",36,3,2,3,15534,726,1279,28
788920308,"Existing Customer",51,"F",2,"High School","Married","Less than $40K",37,3,2,1,2258,1250,4368,75
717602733,"Existing Customer",47,"M",3,"Doctorate","Single","Less than $40K",35,4,3,2,1842,0,4165,67
806165208,"Existing Customer",47,"M",1,"Doctorate","Divorced","$60K - $80K",42,5,2,0,20979,1800,1178,27
715776033,"Existing Customer",46,"M",5,"Uneducated","Single","$60K - $80K",33,4,1,3,3135,0,4116,68
713886333,"Attrited Customer",47,"M",2,"High School","Married","$60K - $80K",39,2,3,1,18660,728,1682,43
780881358,"Existing Customer",35,"M",3,"Graduate","Single","$40K - $60K",17,6,3,2,16659,0,2551,74
720096558,"Existing Customer",55,"F",2,"Graduate","Married","Less than $40K",42,5,3,3,2216,1034,1540,36
766795983,"Existing Customer",46,"F",1,"Unknown","Single","Less than $40K",40,4,2,2,1438.3,0,4692,91
780055308,"Existing Customer",43,"F",3,"College","Single","Less than $40K",28,3,1,3,1438.3,0,4482,54
715566408,"Existing Customer",45,"F",3,"Doctorate","Married","Less than $40K",36,1,2,2,2143,1479,4404,77
780598383,"Existing Customer",35,"M",3,"Doctorate","Single","$40K - $60K",23,4,3,2,2148,1545,2167,65
717477783,"Attrited Customer",49,"F",4,"Unknown","Single","Less than $40K",37,1,2,2,10195,2389,1563,36
788782008,"Existing Customer",49,"F",3,"Unknown","Married","Less than $40K",30,4,3,2,15987,0,4146,69
825756333,"Existing Customer",55,"F",0,"Uneducated","Married","Less than $40K",51,4,3,1,2041,1885,2118,48
712790358,"Attrited Customer",39,"F",3,"Uneducated","Married","Unknown",30,6,3,4,3023,1348,2219,44
715078383,"Existing Customer",64,"F",0,"Graduate","Married","Unknown",36,3,1,3,7646,1010,1667,47
780078333,"Existing Customer",56,"M",2,"Unknown","Married","$60K - $80K",41,3,2,2,5887,659,1193,26
780360558,"Existing Customer",33,"F",1,"Graduate","Married","Less than $40K",20,2,2,2,1507,0,4698,87
709399908,"Existing Customer",34,"F",2,"Graduate","Single","$40K - $60K",23,4,2,2,7594,1442,15026,99
767376483,"Existing Customer",27,"F",1,"College","Married","Less than $40K",20,5,3,3,1893,0,5176,91
778180158,"Existing Customer",44,"M",4,"Doctorate","Divorced","$80K - $120K",34,5,1,4,7150,1887,3636,69
819363708,"Existing Customer",43,"M",1,"Post-Graduate","Single","$60K - $80K",38,4,2,3,2387,1482,3909,67
717225258,"Existing Customer",35,"M",2,"Graduate","Single","$120K +",27,6,2,2,13655,1048,2383,59
708710283,"Existing Customer",45,"M",5,"Doctorate","Married","$120K +",36,6,1,4,34516,2038,4067,75
710756133,"Existing Customer",40,"F",3,"Unknown","Married","Less than $40K",31,5,6,1,1811,821,4290,73
