hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
Resort Hotel,1,74,January,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,57.6,0,0,Canceled
Resort Hotel,1,62,January,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,51.5,0,1,Canceled
Resort Hotel,1,62,January,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,51.5,0,1,Canceled
Resort Hotel,1,62,January,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,51.5,0,1,Canceled
Resort Hotel,1,71,January,2,2,1,0,0,0,0,A,0,No Deposit,0,Transient,32.22,0,1,Canceled
Resort Hotel,1,88,January,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,44.64,0,1,Canceled
Resort Hotel,1,172,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42.69,0,0,Canceled
Resort Hotel,1,168,January,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,42.69,0,0,Canceled
Resort Hotel,1,52,January,2,5,1,0,0,0,0,A,0,No Deposit,0,Transient,42.43,0,0,Canceled
Resort Hotel,1,25,January,4,10,1,0,0,0,0,A,0,No Deposit,0,Transient,41.4,0,0,Canceled
Resort Hotel,1,42,January,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,42,January,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,42,0,0,Canceled
Resort Hotel,1,143,January,1,1,2,0,0,0,0,A,1,No Deposit,0,Transient,34.02,0,1,Canceled
Resort Hotel,1,89,January,1,3,2,0,0,0,0,D,0,No Deposit,0,Transient,46.8,0,1,No-Show
Resort Hotel,1,131,January,1,3,2,0,0,0,0,E,1,No Deposit,0,Transient,55.8,0,1,Canceled
Resort Hotel,1,21,January,1,3,2,0,0,0,0,A,0,No Deposit,0,Transient,48,0,1,Canceled
Resort Hotel,1,89,January,1,3,2,0,0,0,0,E,0,No Deposit,0,Transient,55.8,0,0,Canceled
Resort Hotel,1,48,January,1,4,2,0,0,0,0,A,1,No Deposit,0,Transient,47.8,0,2,Canceled
